frac_T,id,matrix_T,x,y,z
0.042820710526628,0,0.0063657779888572,0,0,0
0.024701314565859,5,0.0056382355379869,5,0,0
0.014075239478733,10,0.0043295676550769,10,0,0
0.0080757299219603,15,0.0030931961559163,15,0,0
0.0046661674145678,20,0.0021183740119394,20,0,0
0.0027179799357418,25,0.0014143125299191,25,0,0
0.0016019021562373,30,0.00093314135719744,30,0,0
0.00096569054212236,35,0.00061931642013281,35,0,0
0.00061274239114372,40,0.00042689017120462,40,0,0
0.00043593205891633,45,0.0003237507730891,45,0,0
0.00038230943553165,50,0.00029137542558996,50,0,0
