frac_T,id,matrix_T,x,y,z
0.02056195783711,0,0.0077493722800999,0,0,0
0.01929591630479,5,0.0072764211313184,5,0,0
0.015950386800727,10,0.0060252038857969,10,0,0
0.011622199860759,15,0.0044027694374355,15,0,0
0.0074734200664627,20,0.0028422927942781,20,0,0
0.0042476929943996,25,0.0016235667237554,25,0,0
0.0021382953861692,30,0.00082221693454798,30,0,0
0.00095612684360434,35,0.00037021695047443,35,0,0
0.00038309542808217,40,0.00014953704076094,40,0,0
0.00014710081210777,45,5.7988941355118e-05,45,0,0
8.5720431330197e-05,50,3.405277781026e-05,50,0,0
