memory_logger.py --read simple_diffusion_memory.log
Date Stamp                 Memory Usage | Percent of MAX memory used: ( 264,256 K )
12 May 09:43:43.159996        118,904 K | --------------------| 44.99%
12 May 09:43:43.185155        118,908 K | --------------------| 44.99%
12 May 09:43:43.209589        118,908 K | --------------------| 44.99%
12 May 09:43:43.233664        118,912 K | --------------------| 44.99%
12 May 09:43:43.260108        118,916 K | --------------------| 45.00%
12 May 09:43:43.285351        118,932 K | --------------------| 45.00%
12 May 09:43:43.311781        118,968 K | --------------------| 45.01%
12 May 09:43:43.336671        118,976 K | --------------------| 45.02%
12 May 09:43:43.361786        119,004 K | --------------------| 45.03%
12 May 09:43:43.387484        119,032 K | --------------------| 45.04%
12 May 09:43:43.411622        119,040 K | --------------------| 45.04%
12 May 09:43:43.434505        119,040 K | --------------------| 45.04%
12 May 09:43:43.457495        119,356 K | --------------------| 45.16%
12 May 09:43:43.481471        120,484 K | --------------------| 45.59%
12 May 09:43:43.505902        121,644 K | --------------------| 46.03%
12 May 09:43:43.530162        122,808 K | ---------------------| 46.47%
12 May 09:43:43.553933        123,992 K | ---------------------| 46.92%
12 May 09:43:43.577552        125,148 K | ---------------------| 47.35%
12 May 09:43:43.602607        126,196 K | ---------------------| 47.75%
12 May 09:43:43.627065        131,136 K | -----------------------| 49.62%
12 May 09:43:43.652713        138,600 K | -------------------------| 52.44%
12 May 09:43:43.676421        138,608 K | -------------------------| 52.45%
12 May 09:43:43.700441        139,004 K | -------------------------| 52.60%
12 May 09:43:43.725156        140,740 K | -------------------------| 53.25%
12 May 09:43:43.749215        138,880 K | -------------------------| 52.55%
12 May 09:43:43.773056        138,880 K | -------------------------| 52.55%
12 May 09:43:43.796269        144,932 K | --------------------------| 54.84%
12 May 09:43:43.820610        145,744 K | ---------------------------| 55.15%
12 May 09:43:43.844566        147,432 K | ---------------------------| 55.79%
12 May 09:43:43.867456        147,440 K | ---------------------------| 55.79%
12 May 09:43:43.890581        147,440 K | ---------------------------| 55.79%
12 May 09:43:43.915913        147,456 K | ---------------------------| 55.80%
12 May 09:43:43.939711        147,472 K | ---------------------------| 55.80%
12 May 09:43:43.962963        147,476 K | ---------------------------| 55.80%
12 May 09:43:43.988611        147,480 K | ---------------------------| 55.80%
12 May 09:43:44.013140        148,536 K | ---------------------------| 56.20%
12 May 09:43:44.036609        148,712 K | ---------------------------| 56.27%
12 May 09:43:44.059794        157,524 K | ------------------------------| 59.61%
12 May 09:43:44.083616        161,044 K | -------------------------------| 60.94%
12 May 09:43:44.108447        171,956 K | ---------------------------------| 65.07%
12 May 09:43:44.133661        171,956 K | ---------------------------------| 65.07%
12 May 09:43:44.157677        173,428 K | ----------------------------------| 65.62%
12 May 09:43:44.181663        175,576 K | ----------------------------------| 66.44%
12 May 09:43:44.206320        179,792 K | -----------------------------------| 68.03%
12 May 09:43:44.230308        182,856 K | ------------------------------------| 69.19%
12 May 09:43:44.254167        186,556 K | -------------------------------------| 70.59%
12 May 09:43:44.278363        190,628 K | --------------------------------------| 72.13%
12 May 09:43:44.302360        193,552 K | ---------------------------------------| 73.24%
12 May 09:43:44.324826        194,168 K | ---------------------------------------| 73.47%
12 May 09:43:44.349295        194,168 K | ---------------------------------------| 73.47%
12 May 09:43:44.373849        194,168 K | ---------------------------------------| 73.47%
12 May 09:43:44.398137        194,232 K | ---------------------------------------| 73.50%
12 May 09:43:44.421162        194,320 K | ---------------------------------------| 73.53%
12 May 09:43:44.444478        194,320 K | ---------------------------------------| 73.53%
12 May 09:43:44.468703        196,940 K | ----------------------------------------| 74.52%
12 May 09:43:44.492602        203,156 K | ------------------------------------------| 76.87%
12 May 09:43:44.516616        209,884 K | -------------------------------------------| 79.42%
12 May 09:43:44.540679        212,052 K | --------------------------------------------| 80.24%
12 May 09:43:44.565432        214,568 K | ---------------------------------------------| 81.19%
12 May 09:43:44.590527        216,984 K | ---------------------------------------------| 82.11%
12 May 09:43:44.615556        218,756 K | ----------------------------------------------| 82.78%
12 May 09:43:44.640158        219,604 K | ----------------------------------------------| 83.10%
12 May 09:43:44.664301        220,772 K | ----------------------------------------------| 83.54%
