frac_T,id,x,y,z
1,0,0,0,0
0.71698785374206,1,0.5,0,0
0.50203955744949,2,1,0,0
0.34434792759826,3,1.5,0,0
0.23250357056864,4,2,0,0
0.15504890368508,5,2.5,0,0
0.10236361624248,6,3,0,0
0.067022524168181,7,3.5,0,0
0.043578555360445,8,4,0,0
0.028167854226854,9,4.5,0,0
0.018114551375892,10,5,0,0
0.011598504819271,11,5.5,0,0
0.0073988617609506,12,6,0,0
0.0047059412790072,13,6.5,0,0
0.0029878303218551,14,7,0,0
0.0018980639943298,15,7.5,0,0
0.0012129434979366,16,8,0,0
0.00078967814778716,17,8.5,0,0
0.00053892231714102,18,9,0,0
0.00040720697755799,19,9.5,0,0
0.00036624511056624,20,10,0,0
