frac_T,id,x,y,z
1,211,0,0,0
0.73300338432933,210,0.5,0,0
0.53404248482359,212,1,0,0
0.38605451377067,213,1.5,0,0
0.27712149998835,214,2,0,0
0.19762951425156,215,2.5,0,0
0.14008243735349,216,3,0,0
0.09872659571426,217,3.5,0,0
0.069207937513369,218,4,0,0
0.048271548926143,219,4.5,0,0
0.033510575969748,220,5,0,0
0.023162560485495,221,5.5,0,0
0.01594841923201,222,6,0,0
0.010947648167342,223,6.5,0,0
0.0075032536597656,224,7,0,0
0.0051504311945856,225,7.5,0,0
0.0035638464387337,226,8,0,0
0.0025192889240719,227,8.5,0,0
0.0018663515070607,228,9,0,0
0.0015095852666209,229,9.5,0,0
0.0013962752237298,230,10,0,0
