frac_T,id,x,y,z
1,0,0,0,0
0.73222264760932,1,0.5,0,0
0.53363959065168,2,1,0,0
0.38643240045148,3,1.5,0,0
0.27825211418949,4,2,0,0
0.19931832929565,5,2.5,0,0
0.14209315306049,6,3,0,0
0.1008489177976,7,3.5,0,0
0.071282229367583,8,4,0,0
0.050192081535075,9,4.5,0,0
0.035218333614671,10,5,0,0
0.024634443253073,11,5.5,0,0
0.01718642252567,12,6,0,0
0.011969673830927,13,6.5,0,0
0.0083360838749941,14,7,0,0
0.0058248113259885,15,7.5,0,0
0.0041113614553622,16,8,0,0
0.0029706412499679,17,8.5,0,0
0.0022506652085823,18,9,0,0
0.0018544174252483,19,9.5,0,0
0.0017280783406149,20,10,0,0
