frac_T,id,x,y,z
1,211,0,0,0
0.73433210975938,210,0.5,0,0
0.53587946436923,212,1,0,0
0.38791389261507,213,1.5,0,0
0.27876698829085,214,2,0,0
0.19897180429724,215,2.5,0,0
0.14111392650091,216,3,0,0
0.099480928086743,217,3.5,0,0
0.069734782341396,218,4,0,0
0.048622404113344,219,4.5,0,0
0.033731646146215,220,5,0,0
0.023291924036313,221,5.5,0,0
0.016015624428754,222,6,0,0
0.010974532348761,223,6.5,0,0
0.0075052553094082,224,7,0,0
0.0051379836177327,225,7.5,0,0
0.0035436467979719,226,8,0,0
0.0024953615245834,227,8.5,0,0
0.0018408959529013,228,9,0,0
0.0014836381701312,229,9.5,0,0
0.0013702323114925,230,10,0,0
