frac_T,id,x,y,z
1,0,0,0,0
0.73084060146697,1,0.5,0,0
0.53137767935949,2,1,0,0
0.38371340924479,3,1.5,0,0
0.27540045974929,4,2,0,0
0.19656090264506,5,2.5,0,0
0.13957014309217,6,3,0,0
0.098632003590236,7,3.5,0,0
0.069394199086503,8,4,0,0
0.048623775423952,9,4.5,0,0
0.033941878536573,10,5,0,0
0.023612807430509,11,5.5,0,0
0.016379817209907,12,6,0,0
0.011339493433563,13,6.5,0,0
0.0078470468822701,14,7,0,0
0.0054458593595084,15,7.5,0,0
0.0038157473591378,16,8,0,0
0.0027355180016172,17,8.5,0,0
0.0020563878866345,18,9,0,0
0.0016836934660382,19,9.5,0,0
0.0015650457165247,20,10,0,0
