frac_T,id,x,y,z
1,211,0,0,0
0.70286715045262,210,0.5,0,0
0.49492992978073,212,1,0,0
0.3484962595526,213,1.5,0,0
0.24539775937762,214,2,0,0
0.17280020955611,215,2.5,0,0
0.12168156422677,216,3,0,0
0.085687450388327,217,3.5,0,0
0.060343999626441,218,4,0,0
0.042501091665186,219,4.5,0,0
0.029940919696209,220,5,0,0
0.021102297946796,221,5.5,0,0
0.01488661718951,222,6,0,0
0.010521290257014,223,6.5,0,0
0.0074637224755653,224,7,0,0
0.0053338689847462,225,7.5,0,0
0.003866996528335,226,8,0,0
0.0028807780550339,227,8.5,0,0
0.0022526301051343,228,9,0,0
0.0019044761084589,229,9.5,0,0
0.001793041745111,230,10,0,0
