frac_T,id,x,y,z
1,211,0,0,0
0.73162053174625,210,0.5,0,0
0.53214064030627,212,1,0,0
0.38413791318558,213,1.5,0,0
0.27543235989048,214,2,0,0
0.19625701932097,215,2.5,0,0
0.13903157150971,216,3,0,0
0.097960673314554,217,3.5,0,0
0.068674641155101,218,4,0,0
0.04791738228877,219,4.5,0,0
0.033287969536837,220,5,0,0
0.023032577437636,221,5.5,0,0
0.015881014181332,222,6,0,0
0.010920722074905,223,6.5,0,0
0.0075012470594285,224,7,0,0
0.0051628660392394,225,7.5,0,0
0.0035840168432781,226,8,0,0
0.0025431750840304,227,8.5,0,0
0.0018917602404095,228,9,0,0
0.0015354840255383,229,9.5,0,0
0.0014222696554692,230,10,0,0
