time,J_out,P_in,P_out,TK_out,kg_out,kg_per_s
0,0,0,0,0,0,0
0.5,0,11.048451781689,9.6648235076366,473.0000010445,0,0
1,0,11.254808099428,9.6648235492054,473.00000207843,0,0
1.55,0,11.24973156881,9.6648235948498,473.00000320842,0,0
2.155,0,11.259524443505,9.6648236449747,473.00000444384,0,0
2.8205,0,11.273778965218,9.6648237000005,473.00000579277,0,0
3.55255,0,11.28698356565,9.6648237603928,473.00000726441,0,0
4.357805,0,11.300220910088,9.664823826659,473.00000886845,0,0
5.2435855,0,11.31177946791,9.6648238993512,473.00001061507,0,0
6.21794405,0,11.322454895907,9.6648239790695,473.00001251485,0,0
7.289738455,0,11.332848776582,9.6648240664655,473.00001457873,0,0
8.4687123005,0,11.342480597105,9.6648241622459,473.00001681794,0,0
9.76558353055,0,11.351613567541,9.6648242671847,473.00001924462,0,0
11.192141883605,0,11.360484690068,9.6648243821022,473.00002186951,0,0
12.761356071966,0,11.368948116916,9.6648245078976,473.00002470432,0,0
14.487491679162,0,11.37711075519,9.6648246455326,473.00002775983,0,0
16.386240847078,0,11.385049718852,9.6648247960474,473.00003104659,0,0
18.474864931786,0,11.392718971668,9.6648249605563,473.00003457404,0,0
20.772351424965,0,11.400211417578,9.6648251402494,473.00003835003,0,0
23.299586567461,0,11.407511027462,9.6648253363904,473.00004238005,0,0
26.079545224207,0,11.41463236636,9.6648255503217,473.000046667,0,0
29.137499746628,0,11.42163376952,9.6648257835609,473.00005121808,0,0
32.501249721291,0,11.428464343089,9.6648260374819,473.00005601923,0,0
36.20137469342,0,11.43515847766,9.6648263137237,473.00006106667,0,0
40.271512162762,0,11.441721115035,9.6648266139285,473.00006634584,0,0
44.748663379038,0,11.44818895257,9.6648269399419,473.00007184574,0,0
49.673529716942,0,11.45453330383,9.6648272933609,473.00007752597,0,0
55.090882688636,0,11.460774215597,9.6648276760831,473.00008335654,0,0
61.0499709575,0,11.466912246443,9.6648280899368,473.00008929125,0,0
67.60496805325,0,11.472964677621,9.6648285369269,473.00009528443,0,0
74.815464858575,0,11.478918309269,9.6648290187517,473.00010126051,0,0
82.747011344432,0,11.484787073358,9.664829537323,473.00010714895,0,0
91.471712478875,0,11.490567805858,9.6648300943814,473.00011286146,0,0
101.06888372676,0,11.496262065748,9.6648306916831,473.0001183053,0,0
111.62577209944,0,11.501868813021,9.6648313308869,473.00012337864,0,0
123.23834930938,0,11.507399298036,9.6648320134596,473.00012797014,0,0
136.01218424032,0,11.512849858143,9.6648327406359,473.00013196168,0,0
150.06340266435,0,11.518215374513,9.6648335134674,473.00013523598,0,0
165.51974293079,0,11.523523139702,9.6648343340726,473.00013772388,0,0
182.52171722387,0,11.528730911936,9.6648352013512,473.00013925696,0,0
201.22388894625,0,11.533851732473,9.6648361165989,473.00013977905,0,0
221.79627784088,0,11.538897783323,9.6648370800107,473.00013922295,0,0
244.42590562497,0,11.543945958797,9.6648380930329,473.00013757599,0,0
269.31849618747,0,11.54909067652,9.6648391537815,473.00013479161,0,0
296.70034580621,0,11.55447548536,9.6648402630248,473.00013091935,0,0
326.82038038683,0,11.560203384387,9.6648414205101,473.00012602799,0,0
359.95241842552,0,11.566331650337,9.6648426272569,473.00012023085,0,0
