"u","GlobalNodeId","PedigreeNodeId","ObjectId","GlobalElementId","PedigreeElementId","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.72367,1321,1321,1,1246,1246,1,0,0.15,0,0
0.70816,1256,1256,1,1196,1196,1,0.05,0.15,0.05,0
0.69144,1191,1191,1,1121,1121,1,0.1,0.15,0.1,0
0.67319,1126,1126,1,1071,1071,1,0.15,0.15,0.15,0
0.65329,1061,1061,1,996,996,1,0.2,0.15,0.2,0
0.63125,996,996,1,946,946,1,0.25,0.15,0.25,0
0.60684,931,931,1,871,871,1,0.3,0.15,0.3,0
0.57926,866,866,1,821,821,1,0.35,0.15,0.35,0
0.54802,801,801,1,746,746,1,0.4,0.15,0.4,0
0.51177,736,736,1,696,696,1,0.45,0.15,0.45,0
0.46938,671,671,1,621,621,1,0.5,0.15,0.5,0
0.41799,606,606,1,571,571,1,0.55,0.15,0.55,0
0.35513,541,541,1,496,496,1,0.6,0.15,0.6,0
0.27431,476,476,1,446,446,1,0.65,0.15,0.65,0
0.17242,411,411,1,371,371,1,0.7,0.15,0.7,0
0.067642,346,346,1,321,321,1,0.75,0.15,0.75,0
0.01119,281,281,1,246,246,1,0.8,0.15,0.8,0
0.00055142,216,216,1,196,196,1,0.85,0.15,0.85,0
-2.4663e-005,151,151,1,121,121,1,0.9,0.15,0.9,0
3.1948e-007,86,86,1,71,71,1,0.95,0.15,0.95,0
-1.0283e-010,42,42,1,21,21,1,1,0.15,1,0
