"u","GlobalNodeId","PedigreeNodeId","ObjectId","GlobalElementId","PedigreeElementId","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0,0,2,1300,1300,1,0,0.1,0,0
0.99269,0,0,2,1298,1298,1,0.05,0.1,0.05,0
0.9849,0,0,2,1295,1295,1,0.1,0.1,0.1,0
0.9765,0,0,2,1293,1293,1,0.15,0.1,0.15,0
0.96743,0,0,2,1290,1290,1,0.2,0.1,0.2,0
0.95739,0,0,2,1288,1288,1,0.25,0.1,0.25,0
0.94632,0,0,2,1285,1285,1,0.3,0.1,0.3,0
0.93408,0,0,2,1283,1283,1,0.35,0.1,0.35,0
0.92027,0,0,2,1280,1280,1,0.4,0.1,0.4,0
0.90376,0,0,2,1278,1278,1,0.45,0.1,0.45,0
0.88441,0,0,2,1275,1275,1,0.5,0.1,0.5,0
0.86108,0,0,2,1273,1273,1,0.55,0.1,0.55,0
0.82956,0,0,2,1270,1270,1,0.6,0.1,0.6,0
0.78475,0,0,2,1268,1268,1,0.65,0.1,0.65,0
0.71184,0,0,2,1265,1265,1,0.7,0.1,0.7,0
0.51001,0,0,2,1263,1263,1,0.75,0.1,0.75,0
0.18438,0,0,2,1260,1260,1,0.8,0.1,0.8,0
0.024471,0,0,2,1258,1258,1,0.85,0.1,0.85,0
-0.00012905,0,0,2,1255,1255,1,0.9,0.1,0.9,0
-4.4995e-005,0,0,2,1253,1253,1,0.95,0.1,0.95,0
2.3093e-006,0,0,2,1251,1251,1,1,0.1,1,0
